ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
244	-0.019424	-0.0282332	-0.0120036	-0.0255495	0.00391152	0.00474206	-0.0154347	-0.00760535	-0.0256754	-0.0142897
245	-0.0195687	0.0048816	-0.0275631	-0.0257665	0.0107712	0.00909627	0.0505914	0.0224901	0.00211357	0.0137605
246	-0.0155801	0.0128996	0.0246714	0.0102394	0.0307747	-0.0147662	-0.0495548	-0.0261259	-0.0149832	-0.00474324
247	-0.0255412	-0.0219873	0.00616715	0.00309431	-0.0184587	0.0250383	-0.0587111	0.0709937	0.00829913	0.0415424
248	-0.00485969	0.011634	-0.0436367	-0.0343166	-0.0377293	-0.0565218	0.00339016	-0.0123139	-0.00161647	-0.00897239
249	-0.00681895	0.0408684	-0.0292628	-0.0522991	0.000779858	0.0681275	-0.050384	-0.000756643	-0.0182024	0.0225951
250	-0.017931	-0.0183576	-0.0420479	-0.0613503	0.0360532	0.00276631	0.0026834	-0.0131432	-0.0333711	-0.0226722
251	-0.0242995	-0.01658	0.00385046	-0.000881942	0.00755068	0.0131047	-0.0344	0.00392207	0.00115578	-0.0458334
252	0.00551292	-0.0188822	-0.0298747	0.0176002	0.00220523	-0.0400025	0.0102994	0.024106	-0.0500239	-0.0182674
255	-0.0163326	-0.0517201	-0.0171355	-0.00843387	-0.0322711	0.0141666	-0.0248436	-0.0102705	0.0591911	0.00512782
257	0.0991147	-0.0356366	0.0982218	0.0469022	-0.0730745	0.0979884	-0.0217733	0.0498986	-0.0206254	0.0767043
259	-0.00307537	0.0174579	-0.0146802	-0.0118741	0.00877699	0.0212956	-0.0200003	-0.000962356	-0.0268063	-0.0541239
260	-0.0135959	0.0178393	-0.00970384	-0.0035336	-0.00283247	0.027245	-0.00626659	-0.0505039	0.0034285	-0.00229496
261	0.00178834	0.0152043	-0.0231036	-0.00988638	0.00722555	0.0295767	0.0616862	0.0475127	-0.0369995	-0.00642917
262	-0.0122618	-0.00293862	0.0101118	-0.00765339	0.0166227	-0.0222491	0.0397527	0.0319825	-0.0450797	0.0160135
263	-0.00824218	-0.00310785	0.0150591	0.0256441	-0.0429507	0.032796	0.00992417	-0.00128703	-0.00474268	0.0778636
264	-0.00679749	-0.00283298	-0.00846709	0.00672946	0.00869715	0.0322293	0.0211958	0.0211144	0.00792005	-0.0460104
265	-0.0162836	0.0237124	0.0116466	-0.0175868	0.00506699	0.0431011	0.00454057	0.0257996	0.0113845	0.0218503
266	-0.0105526	-0.0450429	0.0310794	-0.0124098	-0.027228	-0.032138	0.00960431	-0.0065756	0.0381328	-0.0155407
267	-0.00935607	0.00919658	-0.0261122	0.0274837	-0.0274339	0.0250776	-0.0371425	0.0319005	-0.021218	0.0177887
268	-0.0057861	0.0059708	0.00473284	0.0246177	-0.00112544	-0.02816	-0.0761566	0.0313292	0.00772484	0.00420063
269	-0.00516591	0.011112	-0.0316838	0.0321439	0.0167047	0.00907339	-0.0114917	0.0189148	-0.0462943	0.0351611
270	-0.00560666	0.00600189	-0.031608	0.00802618	0.00754256	0.00492168	0.0138459	-0.0073967	-0.0129077	-0.00353301
271	-0.00491788	0.00284017	0.000862513	0.0242373	0.0142332	0.0474577	0.0393906	0.0175244	0.0358548	-0.0431827
272	-0.00883135	-0.0543281	-0.0292877	0.0180597	0.0188911	0.00213357	0.00190671	0.0109308	-0.0121085	0.0379107
273	0.00434118	-0.0158174	0.0519091	0.0289973	0.0238795	-0.0134436	-0.012569	-0.034635	0.0637733	0.00293863
274	-0.0172081	0.00944762	0.0110323	0.00986014	-0.0401812	0.0448759	0.0203227	-0.030448	0.0343669	0.0248511
275	-0.0211105	-0.00710226	-0.0400733	-0.0243241	0.0309939	-0.0379361	-0.00594696	-0.0167653	-0.0376285	-0.0496673
276	-0.0133843	-0.0127505	-0.0120972	0.042938	-0.0731508	-0.0666085	-0.00845508	-0.0204441	0.00564597	0.0105434
