"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X12" 8.682918597 7.744990873 6.351861807 5.097715717 15.65265748 7.793000482 6.881050108 7.089848952 7.237627003 8.483418391 6.892191428 10.06316367 7.069899881 7.119146637 9.902943011 12.43380513 6.32814976 7.057046134 7.290119148 7.165932432 7.333450978 7.784470607 7.029507174 7.077266383 7.6112308 6.954330129 5.588324463 14.38457632
"X13" 9.041951745 7.562272515 6.969773884 7.722545332 15.60129111 8.904750805 6.924729783 6.995220665 7.16686226 8.996401808 6.837595282 10.38042841 7.048100066 7.127447389 9.421078037 12.40812883 6.206571298 7.15166523 7.13668121 7.227617172 7.240396058 7.332351044 7.131803067 7.050930199 7.731149572 7.052064661 5.986436892 14.35517209
"X15" 9.447967168 7.603144083 6.614790749 6.765382553 15.69697816 9.68126632 7.652246604 6.943210035 7.19227552 9.074427075 6.928932409 10.91137834 6.996872943 7.045386436 10.023393 12.27579322 6.32696237 7.052648401 7.17315132 7.250936891 7.163292166 7.371402961 7.066578658 7.202587096 7.752510292 7.050717369 6.151312427 14.41560099
"X57" 8.696977683 7.576234852 6.620007009 4.892229839 15.62961437 7.525606775 6.208543951 7.006641786 7.636005499 8.608012645 6.850112615 9.804228394 7.031086942 7.187236598 9.818708449 12.77814288 6.412791439 7.158697171 7.118646497 7.265480786 7.303031209 7.624257182 7.037966929 7.070927532 7.612635539 7.043076534 5.801155578 14.11325915
"X58" 8.95256347 7.933502266 6.260946571 5.90380258 15.58551686 7.386629088 6.63538728 7.007570441 7.277397131 8.632233697 6.914460357 10.32583076 7.03333772 7.235897136 9.613898397 12.12216545 6.267491143 7.08981616 7.116461614 7.271926241 7.201118398 7.876849255 6.944508213 7.049568745 7.677880147 7.059245479 5.709063327 14.23569415
"X59" 8.857831035 7.735464267 6.864143944 8.40460052 15.72530245 7.7225949 5.632183337 7.02142912 7.446980742 8.042262167 6.815821161 9.634568949 7.047326405 7.221689273 9.673245175 12.69410284 6.242498312 7.055070942 7.127983519 7.232861777 7.292368333 7.513739127 7.045151905 7.09551968 7.717893009 7.001553292 5.633047819 14.22136257
"X60" 8.763938604 7.72066458 6.478880287 5.084126949 15.72053617 8.056956668 6.483976911 6.99400643 7.052427273 8.162308932 6.848352673 10.24729006 7.008816942 7.183548027 9.643894115 12.01678302 6.384164346 7.05768326 7.057190058 7.179341526 7.24267509 7.638602926 7.047798909 7.082027665 7.6590367 7.031939869 5.646841365 14.39903159
"X61" 9.194851749 7.892387755 6.426508481 6.095896494 15.71518871 7.837865845 6.558332716 7.01663082 7.049703818 8.294393375 6.82560779 10.08712987 6.92451892 7.169512659 9.419006028 12.58888549 6.195452095 7.014769785 7.199712197 7.233399861 7.133716649 7.294261936 7.146241838 7.076295392 7.577992607 7.017821568 5.774530465 14.32560229
"X62" 8.32904597 7.811626776 6.377170543 6.035463481 15.62475312 7.488871554 6.066372685 6.969559553 7.154399691 8.227029781 6.839169194 10.17791057 7.120496826 7.099698781 9.716044617 12.37081694 6.285030362 7.026750831 7.08540052 7.251246864 7.139743312 7.65287808 7.052220687 7.050379821 7.766913596 6.984981667 5.819981768 14.16911434
"X63" 8.15480163 7.704129198 6.899839613 6.319386069 15.70538851 8.131269679 5.652642242 6.934723644 7.601181632 7.466411901 6.805725415 9.478675265 7.056899378 7.284829985 8.933315394 12.32311622 6.297197445 7.077577196 7.177518108 7.542114794 7.259523492 7.534725484 7.026820337 6.950590871 7.612964298 7.158072622 5.721939321 14.35380666
