"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X101" 11.10923245 7.411402388 11.805204 11.42201254 13.88769227 10.53640024 10.13348714 7.044089785 7.034176839 11.9640349 6.835422555 14.60335354 7.044083236 9.108333528 7.939539696 12.64090828 7.281620566 7.122528653 7.317656675 7.224422447 7.171950838 6.317757506 7.181104366 7.133707235 8.417421905 6.90885858 5.715129852 13.05614791
"X102" 9.105283628 7.264709389 10.87842557 10.40952347 12.47697714 10.60354857 9.035071845 7.029566109 7.281120305 10.11666468 6.810250416 13.4876442 7.129015395 7.667934986 7.628731852 12.57209013 7.221252391 7.029745862 7.1957745 7.398208226 7.315136916 6.168408062 7.050707905 7.089253634 8.471736671 6.931631068 5.814247634 11.4293027
"X104" 9.992987165 7.335100764 11.68838527 11.06832688 8.963902536 9.923654984 8.26797893 7.022887519 6.936482662 9.158794393 6.887093481 14.82109853 7.019249094 9.049422946 8.751766604 12.62973956 6.925790251 7.010271538 7.305660681 7.207100168 7.281211266 6.899402569 7.045643727 7.033772187 9.557461252 6.883961043 5.714869384 11.27609544
"X105" 9.36081153 7.26060288 12.19535851 10.60727611 8.617898559 10.49204756 9.600682539 6.953327924 7.007866704 8.975634433 6.901335475 15.16000078 7.0254761 9.864340667 8.841154055 12.46025721 6.909882387 7.046901315 7.491989947 7.398453441 7.238043442 6.677835218 7.10799979 7.13269275 9.507539963 6.850310388 5.653792993 10.58290814
"X106" 11.18638786 7.219680598 10.72753088 10.96883556 8.3387581 9.810064395 9.945785167 7.010394797 6.922618204 9.589292984 6.934838847 14.87804619 7.124092318 8.457689587 7.898365401 12.37237834 6.476361362 6.964828301 7.339681251 7.334853083 7.120554808 6.571921544 7.164876008 7.090660631 9.551735105 6.91444765 5.740332729 11.38046321
"X108" 9.399649475 7.29365263 10.16815848 10.89325833 11.01259953 10.17474981 8.813022409 6.995221231 7.237356168 10.91715272 6.846515093 13.70612919 7.078932101 7.55493976 7.637239347 12.70720044 7.018523315 6.97138935 7.333663627 7.219424114 7.216125542 6.460842735 7.036851941 7.107553648 8.560020895 6.931873911 5.791725961 12.88689358
"X110" 8.545426535 7.174211763 10.50003648 11.0133604 9.125015144 9.644605167 6.495326989 6.958329414 7.067105454 9.658596713 6.924731757 13.42987016 7.028532965 7.235596805 7.720179835 12.95737064 6.545114715 7.002262658 7.258900128 7.236927868 7.158446569 6.534407172 7.143373785 7.062092932 8.465555934 6.968083413 5.751524794 11.86526107
"X111" 9.79562004 7.462620592 11.13888011 11.03970082 10.79403163 10.36780427 9.335524224 6.981897748 7.093187353 10.15414346 6.896267297 14.81718921 7.126634052 7.562759952 8.338750989 12.59242676 7.313491984 7.028629957 7.227373741 7.243403261 7.06798087 6.928176502 7.014706561 7.053621852 8.814384155 6.922875042 5.739094319 12.49986112
"X112" 9.722648632 7.415466442 11.01463523 11.11011786 8.732905698 10.04515532 9.917376608 7.033488426 7.095414554 10.59669513 6.888316524 15.17141888 6.963533216 8.502084397 7.698618652 12.62516854 7.342652222 7.015575759 7.322825807 7.292229545 7.1455481 6.905827108 7.044122746 7.058174226 9.340695555 6.963765166 5.833191183 12.42949041
"X114" 10.56674134 7.347421177 12.72634473 11.43649466 8.168936721 10.62478938 11.80492516 7.000073717 7.037185122 8.139493277 6.907115381 15.57868406 7.005906829 13.60417335 10.5495362 12.27970398 8.191555504 6.989011587 7.17853398 7.678118357 7.384119251 6.840816834 7.112041875 7.007063087 10.22385259 6.905795438 5.7615453 11.11803758
"X115" 10.06510671 7.362043713 11.81634728 10.96456296 9.124256988 10.32012678 9.498081406 7.005614137 7.017396549 10.58271756 6.919684603 15.16612066 7.045334684 9.211916819 8.460727424 12.70893135 7.554814588 7.035109666 7.41276679 7.268337085 7.271780418 6.910166128 7.049793006 7.057723403 9.86621763 7.007586379 5.692011416 12.94793456
"X116" 9.28696681 7.250660857 12.21282532 11.03736823 9.364021846 10.3557675 8.424551355 7.005016966 7.040248239 8.849429272 6.940646172 14.82821485 7.093475775 7.719042627 8.08919611 13.17554083 7.094074707 7.008005937 7.237719543 7.456513118 7.365133704 6.688671069 7.093222251 7.067363222 9.577833754 6.885375048 5.709591552 10.59952662
"X117" 8.658356913 7.354170353 10.6348794 10.40886701 11.02181541 9.645422332 7.036877488 7.004135237 7.00288587 9.794875521 6.879976424 12.96078969 7.145865565 7.228971536 7.500027797 12.98137782 7.103568898 7.038481011 7.352296138 7.331623371 7.211824287 6.68318594 7.054209455 7.110749057 8.435701012 6.901086524 5.894165176 11.58247232
"X118" 8.388698567 7.371932668 10.11657902 9.797756617 11.14342115 9.503740528 7.586771354 7.052854201 7.246972769 10.14588812 6.872167711 12.41655583 7.124771926 7.252175672 6.429965753 13.17210774 7.066529547 7.022524783 7.36088994 7.296661296 7.291257776 6.279549849 6.99762871 6.982021366 8.692573358 6.944424893 5.673931714 12.70236171
"X119" 10.25769842 7.408113585 11.57751638 10.98214088 9.249841683 10.12882583 8.367931192 7.031745196 6.887924849 9.149782742 6.928870624 14.47094466 6.892199646 7.326749073 7.949057392 12.84392765 6.444996086 7.050685391 7.40243267 7.257104982 7.22546515 6.618809 7.068793703 7.113308165 9.203890196 6.853329784 5.647523784 11.25948336
